date,actual,y,pred,q67_raw,q67_conformal
2010-08-10,13.0,23.0,19.93503633468736,16.418934869835375,19.951700839093903
2010-08-11,10.0,21.0,19.94979752160957,16.377919370664053,19.91068533992258
2010-08-12,11.0,22.0,19.62384591069709,15.835870528259571,19.368636497518096
2010-08-13,11.0,18.0,16.577603948950838,13.764004466360866,17.296770435619393
2010-08-14,7.0,15.0,11.815633068422393,10.734669814056234,14.267435783314761
2010-08-15,8.0,17.0,14.935098389081453,11.689785287541032,15.222551256799559
2010-08-16,9.0,20.0,19.477275178375866,14.416374977017924,17.94914094627645
2010-08-17,11.0,19.0,19.61129445594886,13.646123763253826,17.178889732512353
2010-08-18,8.0,15.0,19.541193183827183,14.455149622876622,17.98791559213515
2010-08-19,7.0,13.0,19.300865209566542,15.697028918759264,19.229794888017793
2010-08-20,6.0,10.0,15.459745199287624,15.400001332910028,18.932767302168557
2010-08-21,4.0,11.0,10.612350679756739,12.529924130813036,16.062690100071563
2010-08-22,7.0,14.0,13.472599572352694,15.165686434841128,18.698452404099655
2010-08-23,7.0,22.0,17.909516328068637,15.223020928164733,18.75578689742326
2010-08-24,15.0,27.0,18.1568677836407,15.930123795735524,19.462889764994053
2010-08-25,12.0,17.0,19.35154013919121,17.00231866053389,20.53508462979242
2010-08-26,5.0,17.0,19.8519942272144,16.320608944695746,19.853374913954273
2010-08-27,12.0,20.0,15.252849540156864,15.970021374645887,19.502787343904416
2010-08-28,8.0,12.0,11.622396806663115,12.273563435543064,15.806329404801591
2010-08-29,4.0,11.0,15.056989171844679,13.886642583540667,17.419408552799194
2010-08-30,7.0,19.0,18.250333247013906,16.536522868388055,20.06928883764658
2010-08-31,12.0,26.0,18.868671522420616,16.274685936962314,19.80745190622084
2010-09-01,14.0,25.0,19.26607519143403,16.285344709818148,19.818110679076675
2010-09-02,11.0,22.0,19.96257091448983,16.615003385992246,20.147769355250773
2010-09-03,11.0,20.0,16.71190758436565,13.564289688029938,17.097055657288465
2010-09-04,9.0,15.0,12.234737291144086,11.914391712410968,16.65626042341998
2010-09-05,6.0,9.0,15.565365320909862,13.009088426721164,17.750957137730175
2010-09-06,3.0,12.0,19.521889516547947,14.784557649574243,19.526426360583255
2010-09-07,9.0,20.0,19.2969692097069,14.921289224914455,19.663157935923465
2010-09-08,11.0,18.0,19.15533639382364,15.335688458181782,20.077557169190793
2010-09-09,7.0,17.0,19.28847796611545,15.155625574637613,19.897494285646623
2010-09-10,10.0,11.0,15.652486939091146,13.374644400351707,18.116513111360717
2010-09-11,1.0,2.0,11.39301213846501,12.406469153953795,17.148337864962805
2010-09-12,1.0,4.0,13.561055276390308,14.263077127678677,19.00494583868769
2010-09-13,3.0,8.0,17.013321981960573,14.208081204021997,18.94994991503101
2010-09-14,5.0,12.0,17.708524758347153,14.430578520201728,19.17244723121074
2010-09-15,7.0,24.0,17.262022267683417,15.37988559277405,20.12175430378306
2010-09-16,17.0,32.0,17.139365844793964,14.080573641580486,18.822442352589498
2010-09-17,15.0,18.0,16.027911209325982,14.64719636785464,19.389065078863652
2010-09-18,3.0,11.0,11.823565860391756,13.438721447582516,18.180590158591528
2010-09-19,8.0,21.0,14.181464871835919,13.459032919133742,18.200901630142752
2010-09-20,13.0,20.0,18.91217541199562,15.622578565071482,20.364447276080494
2010-09-21,7.0,21.0,20.634810073167873,17.032524177232865,21.774392888241877
2010-09-22,14.0,21.0,19.925674957782277,16.52601713173699,21.267885842746
2010-09-23,7.0,26.0,21.024297515213902,16.411305030368496,21.153173741377508
2010-09-24,19.0,24.0,16.52175262219705,15.754159829140834,20.496028540149844
2010-09-25,5.0,16.0,13.216868684943316,12.564789770719093,17.306658481728103
2010-09-26,11.0,24.0,15.622583532735874,13.413738908573636,18.155607619582646
2010-09-27,13.0,25.0,20.4348931436006,14.659121477263998,19.40099018827301
2010-09-28,12.0,25.0,21.22439457946285,15.097719847960134,19.839588558969144
2010-09-29,13.0,18.0,21.220406147270257,15.012985739018841,19.754854450027853
2010-09-30,5.0,12.0,21.164359617784406,13.7463395956874,18.48820830669641
2010-10-01,7.0,10.0,17.008558450817546,13.526156248317351,18.26802495932636
2010-10-02,3.0,13.0,9.70437352654537,10.549692905817738,14.661201241607504
2010-10-03,10.0,23.0,10.673381293915526,13.29509257005706,17.406600905846826
2010-10-04,13.0,25.0,18.081964976475255,16.621250949169387,20.732759284959155
2010-10-05,12.0,23.0,20.384534557983915,14.795900854394784,18.907409190184552
2010-10-06,11.0,25.0,19.94651224448314,15.546082585759532,19.6575909215493
2010-10-07,14.0,28.0,20.059138109347302,14.427531206423795,18.539039542213562
2010-10-08,14.0,18.0,17.33446611524931,15.179388163483102,19.29089649927287
2010-10-09,4.0,5.0,12.955329212116332,9.826149061913672,13.93765739770344
2010-10-10,1.0,9.0,15.381017719226223,10.089863406675333,14.2013717424651
2010-10-11,8.0,12.0,18.473877637376447,15.216620931824945,19.328129267614713
2010-10-12,4.0,16.0,19.293786006346895,15.13258005091823,19.244088386707997
2010-10-13,12.0,18.0,18.320794519856328,15.39514227846275,19.506650614252518
2010-10-14,6.0,17.0,19.38210271301291,14.573150306327806,18.684658642117572
2010-10-15,11.0,16.0,15.483170622816255,13.035152055389235,17.146660391179
2010-10-16,5.0,7.0,11.135975834321027,9.165348265754266,13.276856601544033
2010-10-17,2.0,13.0,14.006677534448057,11.250719477129884,15.362227812919652
2010-10-18,11.0,24.0,17.43172134779084,15.599391562560127,19.710899898349894
2010-10-19,13.0,29.0,19.217373731600677,15.692180777449913,19.80368911323968
2010-10-20,16.0,27.0,19.95169180203382,16.046912408793276,20.158420744583044
2010-10-21,11.0,26.0,20.785583630943282,15.586070298900115,19.697578634689883
2010-10-22,15.0,23.0,17.03069001694866,16.11532393415818,20.22683226994795
2010-10-23,8.0,15.0,12.933439055999933,12.397463483142898,16.508971818932665
2010-10-24,7.0,18.0,16.07629461661805,11.812989749387045,15.924498085176811
2010-10-25,11.0,18.0,20.05980565328019,15.299344359851762,19.41085269564153
2010-10-26,7.0,24.0,21.05436223366336,16.47529636464542,20.586804700435188
2010-10-27,17.0,32.0,19.725092788528308,15.65366873606898,19.765177071858748
2010-10-28,15.0,25.0,21.55336422690339,17.099385045199487,21.210893380989255
2010-10-29,10.0,23.0,18.428842931580718,15.100880127281844,19.212388463071612
2010-10-30,13.0,22.0,12.434802606120913,11.416926788611582,16.452870675457905
2010-10-31,9.0,15.0,16.972374281493046,13.806374074658756,18.842317961505078
2010-11-01,6.0,12.0,21.003297165140186,16.948840329964177,21.9847842168105
2010-11-02,6.0,20.0,20.31406436784111,18.314622791563046,23.35056667840937
2010-11-03,14.0,22.0,19.86420915559118,15.70577008799597,20.741713974842295
2010-11-04,8.0,24.0,21.193807249325346,16.885580077674526,21.921523964520848
2010-11-05,16.0,18.0,16.86505518097352,14.593930331788476,19.6298742186348
2010-11-06,2.0,7.0,12.959937583522468,11.515191318409926,16.551135205256248
2010-11-07,5.0,17.0,14.773760784517428,10.658049519391026,15.69399340623735
2010-11-08,12.0,17.0,18.666377620422534,14.217793828310151,19.253737715156475
2010-11-09,5.0,16.0,20.779620539376896,17.163483723340864,22.199427610187186
2010-11-10,11.0,19.0,19.46081503719824,15.205935743612995,20.24187963045932
2010-11-11,8.0,16.0,20.010862277260745,14.131978188549253,19.167922075395577
2010-11-12,8.0,13.0,16.525031780127197,14.265713440416516,19.301657327262838
2010-11-13,5.0,7.0,11.069363800438326,10.866649803602813,15.902593690449137
2010-11-14,2.0,14.0,14.595672503903534,13.696854838893234,18.732798725739556
2010-11-15,12.0,23.0,18.013991421169756,15.22933963356942,20.265283520415743
2010-11-16,11.0,23.0,19.984937994535077,16.860912106112327,21.89685599295865
2010-11-17,12.0,21.0,20.35480128484543,16.026121085864496,21.062064972710818
2010-11-18,9.0,21.0,20.493246971014415,15.988075880019524,21.024019766865848
2010-11-19,12.0,18.0,16.65355544799849,13.863315624467246,18.89925951131357
2010-11-20,6.0,13.0,12.130431853246101,12.80315277642494,17.839096663271263
2010-11-21,7.0,13.0,15.353956326705681,15.050124274117548,20.086068160963872
2010-11-22,6.0,13.0,19.648410378009046,16.264946923783455,21.300890810629777
2010-11-23,7.0,19.0,19.620001531807464,18.529316628383075,23.565260515229397
2010-11-24,12.0,17.0,19.315308932840153,15.813485561521105,20.849429448367427
2010-11-25,5.0,13.0,20.177821365999716,16.134956078266743,21.170899965113065
2010-11-26,8.0,9.0,15.812109920483605,18.03071072405482,23.066654610901143
2010-11-27,1.0,5.0,10.601214371882575,10.891990937568643,16.490443870810054
2010-11-28,4.0,13.0,13.434151463100982,16.052804021311378,21.65125695455279
2010-11-29,9.0,16.0,17.37596615070866,18.26515190821376,23.86360484145517
2010-11-30,7.0,18.0,18.982743265181618,18.462869571695055,24.061322504936467
2010-12-01,11.0,17.0,18.543270039390087,19.580425951081125,25.178878884322536
2010-12-02,6.0,18.0,19.01262451365358,18.770902764164234,24.369355697405645
2010-12-03,12.0,16.0,15.245212353430846,14.60382324501362,20.202276178255033
2010-12-04,4.0,11.0,11.20157456565897,13.952798978657745,19.551251911899158
2010-12-05,7.0,15.0,14.252800965258603,16.3481350699812,21.94658800322261
2010-12-06,8.0,18.0,18.47897267484903,20.130766439271508,25.72921937251292
